title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Causal effect inference with deep latent-variable models,"C Louizos, U Shalit, JM Mooij…",2017,1278,"… we will denote observed potential confounders2 by X, and unobserved confounders by Z. … In this paper we draw a connection between causal inference with proxy variables and the …",1SRUypAPG7AJ,"C Louizos, U Shalit, JM Mooij… - Advances in neural …, 2017 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2017/hash/94b5bde6de888ddf9cde6748ad2523d1-Abstract.html,unknown,unknown
Identifying causal effects with proxy variables of an unmeasured confounder,"W Miao, Z Geng, EJ Tchetgen Tchetgen",2018,529,"… causal effect that is confounded by an unobserved variable, but for which observed proxy variables of the confounder … can arise in causal inference subject to unmeasured confounding. …",VpovwTHBO64J,"W Miao, Z Geng, EJ Tchetgen Tchetgen - Biometrika, 2018 - academic.oup.com",[],https://academic.oup.com/biomet/article-abstract/105/4/987/5073056,unknown,unknown
Testing causal theories with learned proxies,"D Knox, C Lucas, WKT Cho",2022,81,"… quality later in this article, as it can introduce confounding and other statistical biases in … Y is unobserved and analysts seek to draw causal inferences from a noisy learned proxy . There …",vxUTXEV78nwJ,"D Knox, C Lucas, WKT Cho - Annual Review of Political Science, 2022 - annualreviews.org",[],https://www.annualreviews.org/content/journals/10.1146/annurev-polisci-051120-111443,unknown,unknown
On multi-cause approaches to causal inference with unobserved counfounding: Two cautionary failure cases and a promising alternative,A D'Amour,2019,72,"… about the unobserved confounder can be … with proxy variables, which can be used to identify causal estimands without parametric assumptions by adding a small number of variables to …",NoiX6mhcEssJ,"A D'Amour - The 22nd international conference on artificial …, 2019 - proceedings.mlr.press",[],https://proceedings.mlr.press/v89/d-amour19a.html,unknown,unknown
A proxy variable view of shared confounding,"Y Wang, D Blei",2021,29,"… proxies of the unobserved confounder and identify the intervention distributions of the rest. Moreover, while existing identification formulas for proxy variables … correct causal inference. …",KUdAtvP9BesJ,"Y Wang, D Blei - International Conference on Machine …, 2021 - proceedings.mlr.press",[],https://proceedings.mlr.press/v139/wang21c.html,unknown,unknown
Using embeddings to correct for unobserved confounding in networks,"V Veitch, Y Wang, D Blei",2019,106,… causal inference in the presence of unobserved confounding. We study the case where a proxy is available for the unobserved confounding in … use the proxy to do causal inference. The …,x4LOK9Gu0CkJ,"V Veitch, Y Wang, D Blei - Advances in Neural Information …, 2019 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2019/hash/af1c25e88a9e818f809f6b5d18ca02e2-Abstract.html,unknown,unknown
Automating the selection of proxy variables of unmeasured confounders,"F Xie, Z Chen, S Luo, W Miao, R Cai, Z Geng",2024,8,… use of proxy variables of unobserved confounding for inferring the causal effect in the presence of unmeasured confounders … valid proxy variables of unobserved confounding to a target …,JVDembTnsXEJ,"F Xie, Z Chen, S Luo, W Miao, R Cai, Z Geng - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2405.16130,unknown,unknown
"Kernel methods for unobserved confounding: Negative controls, proxies, and instruments",R Singh,2012,56,"… As a contribution to the kernel methods literature, I show how the RKHS is well suited to causal inference in the presence of unobserved confounding. As a contribution to maternal-fetal …",joe41_Px5lkJ,"R Singh - arXiv preprint arXiv:2012.10315, 2020 - arxiv.org",[],https://arxiv.org/abs/2012.10315,unknown,unknown
