title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Probabilistic reasoning in intelligent systems,J Pearl,2014,35901,… Bayesian methods provide a formalism for reasoning about partial beliefs under conditions of uncertainty. In … Belief updating might be activated by changes occurring in logically related …,OJDFJgqNnkAJ,J Pearl - 2014 - Elsevier,[],https://www.sciencedirect.com/book/monograph/9780080514895/probabilistic-reasoning-in-intelligent-systems,unknown,unknown
Errors in probabilistic reasoning and judgment biases,DJ Benjamin,2018,692,"… reasoning.” By “bias,” in this chapter I will mean any deviation from correct reasoning about probabilities or Bayesian updating… is often called “judgment under uncertainty” or “heuristics …",KzCXaUYDFuwJ,DJ Benjamin - 2018 - nber.org,[],https://www.nber.org/papers/w25200,unknown,unknown
Bayesian network reasoning with uncertain evidences,"Y Peng, S Zhang, R Pan",2010,93,… of belief update in Bayesian networks (BN) with uncertain evidence. Two types of uncertain … This paper considers the problem of probabilistic reasoning with uncertain evidences. A …,896WXydiz8gJ,"Y Peng, S Zhang, R Pan - International Journal of Uncertainty …, 2010 - World Scientific",[],https://www.worldscientific.com/doi/abs/10.1142/S0218488510006696,unknown,unknown
Computation-limited Bayesian updating: A resource-rational analysis of approximate Bayesian inference.,"JQ Zhu, TL Griffiths",2026,18,"… belief updating rule we derive provides a novel explanation for conservative Bayesian updating, … solution under dual sources of uncertainty, which we term computation-limited Bayesian …",rqUhF3hQsIEJ,"JQ Zhu, TL Griffiths - Psychological Review, 2026 - psycnet.apa.org",[],https://psycnet.apa.org/record/2026-25576-001,unknown,unknown
A survey of belief revision and updating rules in various uncertainty models,"D Dubois, H Prade",1994,142,… of belief functions16. But this type of update is not consistent with Bayesian probabilities because the result of imaging is a family of probability distribution not a unique one. Note that …,TWHDEGoGTzoJ,"D Dubois, H Prade - International Journal of Intelligent Systems, 1994 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/int.4550090105,unknown,unknown
The neural basis of belief updating and rational decision making,"A Achtziger, C Alós-Ferrer…",2014,92,"… view, rational decision makers should optimize their objective functions based on beliefs updated through Bayes’ rule (Bayesian updating… an updated probability of an uncertain event. …",3cSk6cJKnbQJ,"A Achtziger, C Alós-Ferrer… - Social cognitive and …, 2014 - academic.oup.com",[],https://academic.oup.com/scan/article-abstract/9/1/55/1673542,unknown,unknown
Probabilistic reasoning with uncertain evidence,J Vomlel,2004,22,… Át means that all uncertainties considered in this paper are treated in the sense of ran… and tools of classical probability. For updating we use the standard Bayes rule. The knowledge of a …,lRr1F9_5V2AJ,"J Vomlel - Neural network world, 2004 - cse.sc.edu",[],https://cse.sc.edu/~mgv/csce582sp12/Vomlel_Thoughts.pdf,unknown,unknown
Using Bayesian updating to improve decisions under uncertainty,BT McCann,2020,41,… Bayesian approaches are most helpful in uncertain situations that call for probabilistic thinking where beliefs need to be updated … to be made in the face of uncertainty. We’ve considered …,ptkO0jzUMfsJ,"BT McCann - California Management Review, 2020 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0008125620948264,unknown,unknown
