title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Probabilistic box embeddings for uncertain knowledge graph reasoning,"X Chen, M Boratko, M Chen, SS Dasgupta…",2021,92,"… methods only model triple-level uncertainty and reasoning … knowledge graph embedding method with calibrated … on two UKG reasoning tasks, ie confidence prediction and fact …",_nE22Hwjya8J,"X Chen, M Boratko, M Chen, SS Dasgupta… - Proceedings of the …, 2021 - aclanthology.org",[],https://aclanthology.org/2021.naacl-main.68/,unknown,unknown
Information retrieval framework using knowledge graph embeddings and uncertainty modelling using probabilistic soft logic,"R Rawat, K Borana, S Gehlot, A Rawat, H Rawat…",2026,4,"… This review highlights the limited incorporation of calibrated confidence in prior retrieval … that integrating probabilistic reasoning, contextualized knowledge graph embeddings, and …",E7OLwXeCUbQJ,"R Rawat, K Borana, S Gehlot, A Rawat, H Rawat… - Discover …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10791-025-09859-w,unknown,unknown
Certainty in uncertainty: Reasoning over uncertain knowledge graphs with statistical guarantees,"Y Zhu, J Wu, Y Wang, H Zhou, J Chen…",2025,10,"… Uncertain knowledge graph embedding (UnKGE) methods learn … T , the reasoning task on UnKGs is to predict the confidence … In this section, we study how the size of the calibration set …",_0Y1H7cOOYQJ,"Y Zhu, J Wu, Y Wang, H Zhou, J Chen… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-main.441/,unknown,unknown
Evaluating the calibration of knowledge graph embeddings for trustworthy link prediction,"T Safavi, D Koutra, E Meij",2020,46,"… KGE calibration, we conduct a case study in which data annotators complete knowledge graph … We show that presenting calibrated confidence scores alongside predictions significantly …",l-mNuFnAnLsJ,"T Safavi, D Koutra, E Meij - … of the 2020 Conference on Empirical …, 2020 - aclanthology.org",[],https://aclanthology.org/2020.emnlp-main.667/,unknown,unknown
Towards trustworthy knowledge graph reasoning: An uncertainty aware perspective,"B Ni, Y Wang, L Cheng, E Blasch, T Derr",2025,31,"… By quantifying a confidence boundary (dashed lines), UQ … it difficult to accurately calibrate the graph reasoning process. … structures, improving embedding adaptability. Moreover, to …",6IAjpotLhV8J,"B Ni, Y Wang, L Cheng, E Blasch, T Derr - Proceedings of the AAAI …, 2025 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/33353,unknown,unknown
Embedding uncertain knowledge graphs,"X Chen, M Chen, W Shi, Y Sun, C Zaniolo",2019,215,"… based on different embedding-based confidence functions. We … all the baselines under all settings, while UKGElogi yields … agents with dynamic knowledge graph embeddings. In ACL. …",sEEiY7_wVq8J,"X Chen, M Chen, W Shi, Y Sun, C Zaniolo - Proceedings of the AAAI …, 2019 - aaai.org",[],https://aaai.org/ojs/index.php/AAAI/article/view/4210,unknown,unknown
Probability calibration for knowledge graph embedding models,"P Tabacof, L Costabello",1912,68,"… , where p is the estimated confidence level that a triple t = (s, p, o) is true, we define fm to be … We propose a method to calibrate knowledge graph embedding models. We target datasets …",4X_KtLDHnNAJ,"P Tabacof, L Costabello - arXiv preprint arXiv:1912.10000, 2019 - arxiv.org",[],https://arxiv.org/abs/1912.10000,unknown,unknown
Approximate inferring with confidence predicting based on uncertain knowledge graph embedding,"S Yang, W Zhang, R Tang, M Zhang, Z Huang",2022,26,… The difficulty of approximate knowledge graph reasoning based on the confidence of relation facts lies in fast calculating … We report results based on their best hyper-parameter settings. …,WDwXY5aGQ0UJ,"S Yang, W Zhang, R Tang, M Zhang, Z Huang - Information Sciences, 2022 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0020025522007885,unknown,unknown
